Tanggal & Waktu,Operator,Aktivitas,Detail Keterangan
2026-06-25 14:00:35,admin,Logout,Keluar dari sistem.
2026-06-25 14:00:59,admin,Login,Berhasil masuk ke dalam sistem.
2026-06-25 14:45:21,admin,Logout,Keluar dari sistem.
2026-06-25 07:54:43,admin,Login,Berhasil masuk ke dalam sistem.
2026-06-25 08:39:00,admin,Logout,Keluar dari sistem.
2026-06-25 08:40:59,admin,Login,Berhasil masuk ke dalam sistem.
2026-06-25 15:41:23,admin,Login,Berhasil masuk ke dalam sistem.
2026-06-25 09:06:59,admin,Logout,Keluar dari sistem.
2026-06-25 09:08:18,admin,Login,Berhasil masuk ke dalam sistem.
2026-06-26 02:51:17,admin,Logout,Keluar dari sistem.
2026-06-26 02:51:47,operator,Login,Berhasil masuk ke dalam sistem.
2026-06-26 03:04:24,admin,Registrasi Sapi,Mendaftarkan sapi baru Kode: S1 | RFID: DPR0001 | Bobot: 350.2 kg.
2026-06-26 03:07:50,admin,Registrasi Sapi,Mendaftarkan sapi baru Kode: S1 | RFID: DPR0002 | Bobot: 350.2 kg.
2026-06-26 03:08:05,admin,Registrasi Sapi,Mendaftarkan sapi baru Kode: S1 | RFID: DPR0003 | Bobot: 350.2 kg.
2026-06-26 03:09:03,admin,Registrasi Sapi,Mendaftarkan sapi baru Kode: S1 | RFID: DPR0005 | Bobot: 351.2 kg.
2026-06-26 03:18:50,operator,Login,Berhasil masuk ke dalam sistem.
2026-06-26 03:24:27,operator,Timbangan Truk,Pencatatan jembatan timbang No TRK-26032426 | Netto: 1755.0 kg.
2026-06-26 03:24:31,admin,Registrasi Sapi,Mendaftarkan sapi baru Kode: S.1 | RFID: DPR006 | Bobot: 349.6 kg.
2026-06-26 03:25:39,admin,Registrasi Sapi,Mendaftarkan sapi baru Kode: S.1 | RFID: DPR007 | Bobot: 353.6 kg.
2026-06-26 03:36:04,admin,Koreksi Data Cepat,Koreksi cepat Sapi Kode S1 (RFID DPR006).
2026-06-26 03:41:36,admin,Registrasi Sapi,Mendaftarkan sapi baru Kode: S1 | RFID: DPR0008 | Bobot: 351.5 kg.
2026-06-26 03:43:21,admin,Registrasi Sapi,Mendaftarkan sapi baru Kode: S1 | RFID: DPR0009 | Bobot: 351.5 kg.
2026-06-26 03:48:16,admin,Registrasi Sapi,Mendaftarkan sapi baru Kode: S1 | RFID: DPR0004 | Bobot: 348.9 kg.
2026-06-26 05:40:24,operator,Mutasi Kandang,Memindahkan Sapi Kode S1 (RFID DPR0006) dari Pen Karantina menuju Pen A (Bobot < 350kg).
2026-06-26 05:41:10,operator,Mutasi Kandang,Memindahkan Sapi Kode S1 (RFID DPR0004) dari Pen Karantina menuju Pen A (Bobot < 350kg).
2026-06-26 05:43:19,operator,Mutasi Kandang,Memindahkan Sapi Kode S1 (RFID DPR0007) dari Pen Karantina menuju Pen B (Bobot 350-450kg).
2026-06-26 05:45:31,operator,Mutasi Kandang,Memindahkan Sapi Kode S1 (RFID DPR0008) dari Pen Karantina menuju Pen B (Bobot 350-450kg).
2026-06-26 05:47:08,operator,Mutasi Kandang,Memindahkan Sapi Kode S1 (RFID DPR0009) dari Pen Karantina menuju Pen B (Bobot 350-450kg).
2026-06-26 08:56:10,operator,Login,Berhasil masuk ke dalam sistem.
2026-06-26 08:58:48,operator,Input Pakan,Menambahkan pakan sebanyak 35.0 kg ke Sapi Kode S1 (RFID DPR0005).
2026-06-26 08:59:07,operator,Input Pakan,Menambahkan pakan sebanyak 35.0 kg ke Sapi Kode S1 (RFID DPR0006).
2026-06-26 09:00:36,operator,Input Pakan,Menambahkan pakan sebanyak 35.0 kg ke Sapi Kode S1 (RFID DPR0007).
2026-06-26 09:01:11,operator,Input Pakan,Menambahkan pakan sebanyak 35.0 kg ke Sapi Kode S1 (RFID DPR0008).
2026-06-26 09:02:37,operator,Input Pakan,Menambahkan pakan sebanyak 35.0 kg ke Sapi Kode S1 (RFID DPR0004).
2026-06-26 09:04:50,operator,Registrasi Sapi,Mendaftarkan sapi baru Kode: S1 | RFID: DPR0001 | Bobot: 347.8 kg.
2026-06-26 09:05:18,operator,Registrasi Sapi,Mendaftarkan sapi baru Kode: S1 | RFID: DPR0002 | Bobot: 348.7 kg.
2026-06-26 09:05:56,operator,Registrasi Sapi,Mendaftarkan sapi baru Kode: S1 | RFID: DPR0003 | Bobot: 357.3 kg.
2026-06-26 09:06:53,operator,Input Pakan,Menambahkan pakan sebanyak 35.0 kg ke Sapi Kode S1 (RFID DPR0001).
2026-06-26 09:08:37,operator,Input Pakan,Menambahkan pakan sebanyak 35.0 kg ke Sapi Kode S1 (RFID DPR0003).
2026-06-26 09:11:08,operator,Timbangan Truk,Pencatatan jembatan timbang No TRK-26091108 | Netto: 1396.0 kg.
2026-06-26 09:12:43,operator,Logout,Keluar dari sistem.
2026-06-26 09:14:21,operator,Login,Berhasil masuk ke dalam sistem.
2026-06-26 09:23:53,admin,Login,Berhasil masuk ke dalam sistem.
2026-06-26 10:02:20,admin,Logout,Keluar dari sistem.
2026-06-26 10:54:11,admin,Registrasi Sapi,Mendaftarkan sapi baru Kode: S1 | RFID: DPR0010 | Bobot: 351.5 kg.
